City,Country region,Name,Service opened,Last expanded,Stations,System length,Annual ridership(millions),Latitude,Longitude
Algiers,Algeria,Algiers Metro,2011,2018,19,18.5,45.3,36.7525,3.04197
Buenos Aires,Argentina,Buenos Aires Underground,1913,2019,78,56.7,74,-34.61315,-58.37723
Yerevan,Armenia,Yerevan Metro,1981,1996,10,12.1,23.3,40.18111,44.51361
Sydney,Australia,Sydney Metro,2019,,13,36,16.3,-33.7303165,150.9430625
Vienna,Austria,Vienna U-Bahn,1978,2017,98,83.3,459.8,48.20849,16.37208
Baku,Azerbaijan,Baku Metro,1967,2022,27,40.7,202.5,40.37767,49.89201
Dhaka,Bangladesh,Dhaka Metro Rail,2022,,9,11.7,36.5,23.7319228,90.3966615
Minsk,Belarus,Minsk Metro,1984,2020,33,40.8,225.9,53.9,27.56667
Brussels,Belgium,Brussels Metro,1976,2009,59,39.9,96.3,50.85045,4.34878
Belo Horizonte,Brazil,Belo Horizonte Metro,1986,2002,19,28.1,54.4,-19.92083,-43.93778
Brasília,Brazil,Federal District Metro,2001,2020,27,42.38,42.8,-15.77972,-47.92972
Fortaleza,Brazil,Fortaleza Metro,2012,2013,20,24.1,11.7,-3.7378452,-38.4848892
Porto Alegre,Brazil,Porto Alegre Metro,1985,2014,22,43.8,48.1,-30.03306,-51.23
Recife,Brazil,Recife Metro,1985,2009,28,39.5,93.5,-8.0698444,-34.8863104
Rio de Janeiro,Brazil,Rio de Janeiro Metro,1979,2016,41,58,118.7,-22.25,-42.5
Salvador,Brazil,Salvador Metro,2014,2018,19,32.5,62,-12.97111,-38.51083
São Paulo,Brazil,São Paulo Metro,1974,2021,89,104.4,"1,104.15",-23.5981107,-46.6469925
Sofia,Bulgaria,Sofia Metro,1998,2021,44,52,92.4,42.6281006,23.3734886
Montreal,Canada,Montreal Metro,1966,2007,68,69.2,245.5,45.50884,-73.58781
Toronto,Canada,Toronto Subway,1954,2017,75,76.9,235.7,43.7819481,-79.41523
Vancouver,Canada,SkyTrain,1985,2016,53,79.6,116.6,49.2608642,-123.0633835
Santiago,Chile,Santiago Metro,1975,2019,119,140,263.4,-33.45694,-70.64827
Beijing,China,Beijing Subway,1971,2023,370,785.7,"2,292.65",39.9061117,116.3327629
Changchun,China,Changchun Rail Transit,2011,2021,59,72.6,154.37,44.0132813,125.4192631
Changsha,China,Changsha Metro,2014,2022,135,207.9,385.76,28.2396565,112.9783258
Changzhou,China,Changzhou Metro,2019,2021,43,54.03,22.82,31.788753,119.9232485
Chengdu,China,Chengdu Metro,2010,2020,284,518.5,"1,800",30.6272148,104.0642676
Chongqing,China,Chongqing Rail Transit,2004,2023,238,485.02,839.75,29.3788771,106.5037462
Dalian,China,Dalian Metro,2003,2023,99,237.74,125.22,38.9360743,121.5764279
Dongguan,China,Dongguan Rail Transit,2016,,15,37.7,35.06,22.8703412,113.6603733
Foshan,China,Foshan Metro,2010,2022,61,112.7,,22.984725,113.0013219
Fuzhou,China,Fuzhou Metro,2016,2022,74,114.2,94.75,25.9892514,119.3466181
Guangzhou,China,Guangzhou Metro,1997,2022,254,617.05,"2,415.60",23.3986152,113.2998573
Guiyang,China,Guiyang Metro,2017,2021,55,75.7,36.98,26.58333,106.71667
Hangzhou,China,Hangzhou Metro,2012,2022,254,516.2,582.41,30.2671012,119.9954283
Harbin,China,Harbin Metro,2013,2021,62,79.4,51.33,45.75,126.65
Hefei,China,Hefei Metro,2016,2022,133,170.95,195.07,31.8233945,117.4865451
Hohhot,China,Hohhot Metro,2019,2020,43,49.039,21.3,40.7852446,111.5727592
Hong Kong,China,Mass Transit Railway,1979,2022,99,209,"1,616.30",22.2845557,114.15841
Jinan,China,Jinan Metro,2019,2021,40,84.25,8.68,36.6482009,117.0496729
Jinhua,China,Jinhua Rail Transit,2022,2023,32,118.5,21.8,29.1003406,119.6985864
Kunming,China,Kunming Metro,2012,2022,103,164.3,159.26,25.03889,102.71833
